movieId,userId,rating
42594,0,6.0
42594,1,5.0
65891,2,7.0
11202,3,9.0
11202,4,9.0
2998,5,8.0
98348,6,4.0
5227,7,4.0
10671,8,7.0
23330,9,10.0
31581,10,7.0
106326,11,5.0
33157,12,8.0
33157,13,7.0
14676,14,7.0
29748,15,6.0
29748,16,7.0
144910,17,5.0
31935,18,6.0
31935,19,7.0
1685,20,10.0
1685,21,8.0
1685,22,7.0
1685,23,7.0
1685,24,5.0
59917,25,8.0
20444,26,7.0
11916,27,9.0
42592,28,6.0
5722,29,6.0
10364,30,7.0
11589,31,9.0
11589,32,7.0
42596,33,8.0
4910,34,8.0
38765,35,7.0
38765,36,7.0
14384,37,4.0
11165,38,7.0
31952,39,7.0
31952,40,6.0
71244,41,7.0
71244,42,7.0
50372,43,7.0
5185,44,9.0
24918,45,4.0
13765,46,8.0
13765,47,4.0
13765,48,8.0
28476,49,7.0
34479,50,7.0
34479,51,6.0
3145,52,6.0
3145,53,6.0
42569,54,8.0
72881,55,7.0
10112,56,7.0
238850,57,6.0
9062,58,7.0
9062,59,6.0
26593,60,5.0
26593,61,7.0
11040,62,7.0
27172,63,7.0
198652,64,6.0
196784,65,5.0
196784,66,6.0
26234,67,7.0
42525,68,6.0
42525,69,7.0
24569,70,7.0
24569,71,6.0
39043,72,6.0
39043,73,7.0
38654,74,6.0
1485,75,10.0
1485,76,6.0
42500,77,8.0
42500,78,8.0
42500,79,6.0
636,80,6.0
32116,81,6.0
10514,82,8.0
11951,83,8.0
20173,84,7.0
4156,85,3.0
40158,86,7.0
41357,87,8.0
26774,88,7.0
26774,89,6.0
48207,90,10.0
48207,91,7.0
1687,92,6.0
1687,93,8.0
1687,94,8.0
1687,95,6.0
21717,96,7.0
21717,97,7.0
30341,98,9.0
30341,99,6.0
31906,100,7.0
42532,101,6.0
104297,102,6.0
5920,103,6.0
42531,104,9.0
29005,105,8.0
29005,106,6.0
466,107,9.0
22777,108,7.0
252,109,8.0
252,110,10.0
252,111,8.0
35068,112,6.0
36040,113,7.0
482,114,7.0
27236,115,6.0
27236,116,10.0
45007,117,6.0
90974,118,5.0
63512,119,7.0
63512,120,5.0
36194,121,6.0
11234,122,6.0
11234,123,10.0
42522,124,8.0
71654,125,7.0
16154,126,6.0
16154,127,7.0
39859,128,8.0
11842,129,6.0
9267,130,5.0
75130,131,6.0
15393,132,8.0
15393,133,8.0
25188,134,7.0
25188,135,7.0
336,136,7.0
52941,137,4.0
14811,138,7.0
31283,139,7.5
31283,140,6.0
46845,141,7.0
34991,142,8.0
12335,143,8.0
12335,144,7.0
46067,145,7.0
40083,146,5.0
185,147,10.0
185,148,7.0
185,149,7.0
343,150,7.0
343,151,7.0
32032,152,6.0
79683,153,5.0
79683,154,6.0
984,155,9.0
984,156,6.0
984,157,10.0
984,158,8.0
984,159,7.0
994,160,10.0
681,161,8.0
681,162,6.0
681,163,2.0
681,164,6.0
681,165,7.0
15360,166,7.0
15360,167,8.0
15573,168,8.0
10784,169,7.0
10784,170,3.0
45512,171,6.0
18274,172,5.0
811,173,5.0
811,174,5.0
811,175,7.0
811,176,5.0
238,177,10.0
238,178,10.0
238,179,1.0
238,180,7.0
238,181,9.0
692,182,1.0
56067,183,7.0
11713,184,5.0
11713,185,5.0
59414,186,8.0
42490,187,9.0
26928,188,6.0
26928,189,6.0
24571,190,7.0
24571,191,6.0
26119,192,7.0
52608,193,5.0
35280,194,5.0
40983,195,6.0
573,196,8.0
573,197,7.0
27292,198,8.0
27292,199,8.0
21711,200,6.0
21711,201,8.0
1688,202,8.0
1688,203,7.0
1688,204,6.0
18250,205,8.0
18250,206,6.0
42486,207,5.0
24236,208,7.0
4986,209,6.0
14881,210,6.0
14881,211,7.0
14881,212,7.0
10669,213,10.0
10669,214,10.0
10669,215,9.0
43417,216,3.0
43417,217,6.0
5927,218,7.0
5927,219,7.0
15516,220,5.0
30892,221,7.0
4593,222,10.0
4593,223,7.0
593,224,7.0
33020,225,8.0
33020,226,4.0
85126,227,9.0
31591,228,8.0
290141,229,6.0
74064,230,4.0
56966,231,5.0
42491,232,9.0
25993,233,5.5
25993,234,7.0
25993,235,6.0
34461,236,8.0
551,237,9.0
551,238,7.0
33638,239,5.0
11943,240,9.0
11943,241,10.0
32140,242,7.0
32615,243,9.5
74057,244,5.0
33331,245,6.0
40682,246,8.0
40682,247,8.0
7514,248,6.0
42469,249,8.0
42469,250,6.0
29596,251,5.0
1847,252,7.0
1847,253,7.0
1847,254,7.0
53868,255,10.0
29425,256,5.0
103711,257,7.0
22307,258,8.0
32627,259,7.0
28498,260,8.0
28498,261,6.0
39889,262,6.0
12101,263,4.0
24923,264,6.0
42455,265,5.0
42455,266,5.0
11293,267,9.0
11293,268,7.0
2988,269,4.0
4909,270,9.0
4909,271,7.0
11577,272,9.0
11577,273,5.0
1675,274,7.0
31943,275,9.0
26331,276,8.0
1705,277,8.0
1705,278,4.0
1705,279,6.0
1705,280,6.0
74836,281,7.0
22021,282,8.0
45827,283,5.0
85648,284,5.0
42458,285,8.0
42458,286,4.0
25680,287,9.0
253,288,7.0
253,289,10.0
253,290,7.0
253,291,7.0
42472,292,5.0
30708,293,5.0
156094,294,4.0
26196,295,7.0
304816,296,5.0
28110,297,6.0
62754,298,3.0
62754,299,4.0
4984,300,7.0
4984,301,6.0
838,302,6.0
12545,303,8.0
12545,304,6.0
2362,305,8.0
9461,306,6.0
9461,307,8.0
11901,308,9.0
11901,309,7.0
11901,310,2.0
73984,311,8.0
72460,312,7.0
3133,313,5.5
931,314,10.0
931,315,6.0
931,316,7.0
931,317,8.0
27331,318,8.0
26762,319,9.0
10236,320,7.0
26831,321,7.0
26831,322,6.0
29142,323,6.5
26329,324,5.0
26329,325,5.0
11886,326,8.0
11886,327,7.0
94741,328,7.0
40374,329,9.0
40374,330,8.0
8327,331,10.0
9040,332,9.0
16306,333,8.0
16307,334,10.0
16307,335,6.0
16307,336,10.0
2926,337,7.0
14886,338,7.0
9474,339,5.0
46667,340,5.0
78076,341,6.0
5924,342,9.0
5924,343,9.0
5924,344,9.0
5924,345,7.0
5924,346,7.0
29735,347,8.0
9277,348,10.0
9277,349,8.0
9277,350,10.0
10648,351,7.0
10648,352,7.0
10648,353,8.0
10648,354,10.0
9552,355,6.0
35669,356,6.0
35669,357,5.0
40810,358,8.0
4923,359,6.0
4923,360,1.0
11072,361,10.0
84209,362,6.0
32143,363,5.0
32143,364,7.0
17897,365,7.0
5121,366,6.0
5121,367,6.0
18979,368,8.0
18979,369,8.0
18979,370,6.0
592,371,10.0
592,372,8.0
592,373,7.0
40218,374,2.0
40218,375,5.0
3117,376,7.0
3117,377,5.0
3117,378,5.0
19017,379,8.0
96337,380,10.0
8348,381,8.0
8348,382,7.0
10869,383,6.0
10869,384,6.0
17365,385,7.0
829,386,9.5
829,387,10.0
829,388,7.0
90110,389,8.5
26327,390,7.0
26327,391,5.0
26173,392,7.0
86600,393,7.0
103698,394,5.0
80351,395,6.0
80351,396,6.0
42450,397,6.0
11942,398,9.0
11942,399,8.0
42268,400,6.0
47737,401,6.0
45186,402,10.0
8333,403,7.0
27932,404,5.0
27932,405,7.0
27196,406,6.0
12310,407,7.0
80760,408,5.0
37644,409,8.0
11123,410,6.0
11123,411,7.0
52960,412,6.0
4176,413,8.0
4176,414,8.0
27085,415,6.0
27085,416,6.0
72639,417,6.0
5919,418,6.0
5919,419,9.0
3034,420,8.0
3034,421,8.0
3034,422,7.0
16938,423,6.0
16938,424,7.0
16938,425,7.0
16938,426,7.0
16938,427,6.0
240,428,10.0
240,429,7.0
240,430,4.0
42453,431,5.0
42453,432,8.0
42453,433,8.0
42453,434,7.0
682,435,9.0
682,436,7.0
682,437,7.0
682,438,7.0
682,439,10.0
682,440,6.0
4883,441,4.0
4883,442,6.0
31654,443,4.0
31654,444,6.0
12223,445,7.0
19740,446,6.0
14821,447,7.0
1943,448,3.0
27396,449,4.0
27396,450,6.0
13282,451,6.0
762,452,10.0
762,453,10.0
52633,454,6.0
20187,455,7.0
20187,456,7.0
10711,457,10.0
14815,458,7.0
45874,459,6.0
32042,460,9.0
38701,461,3.0
578,462,10.0
578,463,10.0
578,464,8.0
578,465,9.0
578,466,8.0
32617,467,6.0
11484,468,7.5
32051,469,8.0
18660,470,8.0
18660,471,7.0
68089,472,4.0
29694,473,6.0
29694,474,4.0
36685,475,8.0
163692,476,4.0
32303,477,6.0
968,478,10.0
11963,479,10.0
22094,480,8.0
4917,481,10.0
510,482,8.0
510,483,9.0
510,484,8.0
72882,485,4.0
3175,486,8.0
983,487,9.0
983,488,10.0
19300,489,6.0
19300,490,5.0
8043,491,8.0
103765,492,5.0
103,493,10.0
103,494,10.0
103,495,7.0
21147,496,7.0
10786,497,7.0
991,498,6.0
16176,499,7.0
891,500,8.0
92298,501,8.0
103777,502,9.0
55784,503,7.0
42252,504,8.0
42245,505,5.0
11422,506,6.5
10803,507,7.5
6037,508,4.0
6037,509,10.0
42233,510,3.0
794,511,7.0
794,512,10.0
794,513,7.0
10747,514,10.0
10747,515,9.0
10747,516,8.0
63438,517,7.0
63438,518,6.0
20639,519,6.0
26398,520,8.0
26398,521,3.0
26398,522,5.0
42242,523,6.0
25241,524,7.0
4780,525,8.0
76939,526,4.0
6476,527,6.0
12584,528,8.0
12584,529,8.0
12584,530,7.0
21882,531,3.0
8446,532,6.0
10518,533,7.0
31579,534,7.0
58925,535,7.0
21251,536,5.0
7340,537,7.0
6883,538,8.0
23761,539,8.0
1366,540,10.0
1366,541,10.0
1366,542,7.0
39419,543,6.0
19610,544,6.0
19610,545,7.0
11558,546,8.0
12268,547,10.0
16084,548,5.0
16084,549,9.0
10730,550,7.0
10730,551,5.0
10730,552,6.0
10730,553,5.0
10730,554,10.0
32037,555,6.0
10649,556,6.0
10649,557,7.0
10649,558,7.0
